Name,Type,Manufacturer,Year,Notes,Country
60,Single deck,Ikarus,1952 to 1959,,Hungary
66,Single deck,Ikarus,1955 to 1973,,Hungary
86,Single deck,Tatra,,Trolleybus,Czech Republic
100,Single deck,Škoda TransportationEnergoinvestVaso Miskin Crni,1987–1997,trolleybus,Czech Republic
103,Single deck,Minsk Automobile Plant,1996 to present,,Belarus
104,Single deck,Minsk Automobile Plant,1994 to 2007,,Belarus
105,Single deck,Minsk Automobile Plant,1997 to 2013,Articulated,Belarus
107,Single deck,Minsk Automobile Plant,2001 to present,,Belarus
130 UA,Single deck,Iveco,1987 to 1997,Chassis-only,Argentina
152,Single deck,Minsk Automobile Plant,2000 to 2014,,Belarus
180,Single deck,Ikarus,1966 to 1973,Articulated,Hungary
200Tr,Single deck,Škoda TransportationSanos,,Articulated trolleybus,Czech Republic
203,Single deck,Minsk Automobile Plant,2006 to present,,Belarus
205,Single deck,Minsk Automobile Plant,2009 to present,Articulated,Belarus
206,Single deck,Minsk Automobile Plant,2009 to present,,Belarus
250,Single deck,Ikarus,1970 to 1996,,Hungary
251,Single deck,Minsk Automobile Plant,2006 to present,,Belarus
256,Minibus,Minsk Automobile Plant,2005 to 2014,,Belarus
260,Single deck,Ikarus,1971 to 2002,,Hungary
280,Single deck,Ikarus,1973 to 2002,Articulated,Hungary
286,Single Deck,Crown-Ikarus,1980 to 1986,Articulated,HungaryUSA
300/320/340,Single deck,Duple Coachbuilders,1985 to 1989,Bodywork,United Kingdom
306,Single deck,Fiat306/1 (1956 to 1960)306/2 (1960 to 1962)306/3 (1962 to 1982),1956 to 1982,,Italy
308,Single deck,Fiat,1971 to 1978,,Italy
309,Single deck,Fiat,1958 to 1970,,Italy
311,Single deck,Ikarus,1957 to 1973,,Hungary
315,Single deck,Custom Bus,,Bodywork,Australia
320,Single deck,Fiat,1969 to 1971,Chassis-only,Argentina
341/A -A1,Single deck,Fiat,1969 to 1972,Chassis-only,Argentina
343,Single deck,Fiat (1972 to 1978),1966 to 1978,Chassis-only sold from 1966 to 1978,Italy
350,Single deck,Ikarus,,,Hungary
370,Single deck,Fiat (1976-1980)Iveco (1980-1999),1976 to 1999,Chassis-only sold from 1978 to 1999.,Italy
400,Single deck,Tatra,,Trolleybus,Czech Republic
401,Single deck,Tatra,,Trolleybus,Czech Republic
403 RHD,Single deck,Fabrika automobila Priboj,,,Serbia
405,Midibus,Ikarus,1993 to 1996,,Hungary
409 - 409 AU9 - 409 AU95,Single deck,Van Hool-Fiat,1954 to 1977,,Belgium
411,Single deck,Ikarus,,,Hungary
412,Single deck,Ikarus,1995 to 2003,,Hungary
415,Single deck,Ikarus,1984 to 2002,Also built as the 415T trolleybus by Ikarus and Astra Bus.,HungaryRomania
417,Single deck,Ikarus,,Articulated,Hungary
418,Single deck,Fiat,1972 to 1982,,Italy
425,Single deck,Duple Coachbuilders,1984 to 1989,Running units supplied by Dennis,United Kingdom
430A,Single deck,Alfa Romeo,1949 to 1953,,Italy
435,Single deck,Ikarus,1985 to 2002,Articulated,Hungary
470,Single deck,Fiat,1979 to 1986,,Italy
480,Single deck,Ikarus,1990 to 1997,,HungaryUnited Kingdom
481,Single deck,Ikarus,1998 to 1999,,HungaryUnited Kingdom
489 Polaris,Single deck,Ikarus,2000 to 2001,,HungaryUnited Kingdom
500 HB,Single deck,TatraKarosa,,,Czech Republic
510,Single deck,Custom Bus,,Bodywork,Australia
550,Single deck,Custom Bus,,Bodywork,Australia
556,Single deck,Ikarus,1965 to 1973,,Hungary
600,Single deck,MCV,1996 to present,Chassis: Mercedes-Benz OC 500 RF 2542,Egypt
625,Single deck,Fiat/Van Hool-Fiat,1965 to 1972,,Italy/Belgium
642RN,Single deck,Fiat,1949 to 1953,,Italy
666RN,Single deck,Fiat,1948 to 1953 (Italy)1950 to 1951 (Poland),,ItalyPoland
672,Single deck,Pavlovo Bus Factory,1967 to 1993,,USSR
672RN,Single deck,Fiat,1948 to 1952,,Italy
680RN / RNU,Single deck,Fiat,1949 to 1954,,Italy
682RN,Single deck,Fiat,1953 to 1957,,Italy
695,Single deck,Lviv Bus Factory,1956 to 2008,,Ukraine
706 RO,Single deck,ŠkodaKarosa,,,Czech Republic
706 RTO,Single deck,ŠkodaKarosa,1958 to 1972,,Czech Republic
700/800/900 series (Flyer),Single deck,"Western Flyer, Flyer Industries, New FlyerAM General (Licensed production in USA)",1967 to 1987,,CanadaUSA
706 RTO-K,Single deck,ŠkodaKarosa,1960,Articulated,Czech Republic
800,Double deck,MCV,2016 to present,Chassis: Mercedes-Benz OC 500 RF 2542,Egypt
900A,Single deck,Alfa Romeo,1952 to 1956,,Italy
901 HD12,Single deck,ČSAO Čáslav,1991 to 1994,,Czech Republic
901.10,Single deck,ČSAO Čáslav,1994,,Czech Republic
902A,Single deck,Alfa Romeo,1957 to 1959,,Italy
903,Single deck,ČSAO Čáslav,1992 to 1993,MAN 16.360 HOCL chassis,Czech Republic
15101512,Chassis,Tata Motors,,,India
2000NL,Single Deck,VDL Berkhof,,,The Netherlands
2203,Minibus,Riga Autobus Factory,1976 to 1997,,Latvia
2400,Shuttle bus,Cobus Industries,,,Germany
2700,Shuttle bus,Cobus Industries,,,Germany
3000,Shuttle bus,Cobus Industries,,,Germany
3000,Forward control chassis,Navistar International,1990 to present,Used primarily for school buses,USA
3300,Chassis,Navistar International,2005 to present,Used primarily for school buses,USA
3800,Chassis,Navistar International,1989 to 2004,Used primarily for school buses,USA
3900,Forward control chassis,Navistar International,1990 to 2010,Used primarily for school buses.,USA
7700,Single deck,Volvo Buses,1999 to 2012,,SwedenFinlandPoland
7900,Single deck,Volvo Buses,2011 to present,,SwedenPoland
8500,Single deck,Volvo Buses,2001 to 2011,,SwedenDenmark
8700,Single deck,Volvo Buses,2002 to 2011,,SwedenFinlandPoland
8900,Single deck,Volvo Buses,2010 to present,,SwedenPoland
9700,Single deck,Volvo Buses,2001 to present,,SwedenFinlandPolandMexico
9900,Single deck,Volvo Buses,2001 to 20052007 to present,,SwedenGermanyPoland
A069,Single deck,Bogdan,2006 to present,,Ukraine
A091,Single deck,Bogdan,1999 to 2005,,Ukraine
A092,Single deck,Bogdan,2003 to 2012,,Ukraine
A093,Single deck,Bogdan,2010 to 2012,,Ukraine
A 30,Single deck,Karosa,,,Czech Republic
A401,Single deck,Bogdan,2008 to present,,Ukraine
A-537,Single deck,Fabrika automobila Priboj,1995 to present,,Serbia
A601,Single deck,Bogdan,2009 to present,,Ukraine
A701,Single deck,Bogdan,2011 to present,,Ukraine
Aberdonian,Single deck,Albion Motors,1957 to 1960,,United Kingdom
ACSM-321,Single deck,Belkommunmash,2001 to present,Trolleybus,Belarus
Aero,Single deck,Hyundai Motor Company,1985 to 2010,"Variants: Aero Express, Aero Queen, Aero Space",South Korea
Aero Bus,Single deck,Mitsubishi Fuso Truck & Bus Corporation,1982 to present,"Variants: Aero Ace, Aero Queen",Japan
Aero City,Single deck,Hyundai Motor Company,1991 to present,,South Korea
Aero King,Double deck,Mitsubishi Fuso Truck & Bus Corporation,1984 to 20052008 to 2010,,Japan
Aero Midi,Single deck,Mitsubishi Fuso Truck & Bus Corporation,1988 to present,,Japan
Aero Star,Single deck,Mitsubishi Fuso Truck & Bus Corporation,1984 to present,,Japan
Aero Town,Single deck,Hyundai Motor Company,1985 to present,,South Korea
AGG300,Single deck,Van Hool,1993,Bi-articulated,Belgium
Agora L,Single deck,Renault (1995 to 2002)Irisbus (1999 to 2005),1995 to 2005,"ArticulatedAlso built in the Czech Republic under the Citybus by Karosa, and as a trolleybus by Skoda, and in Romania by Astra Bus.",FranceCzech RepublicRomania
Agora S,Single deck,Renault (1995 to 2002)Irisbus (1999 to 2006),1995 to 2006,"Also built in the Czech Republic under the Citybus by Karosa, and as a trolleybus by Skoda, and in Romania by Astra Bus.",FranceCzech RepublicRomania
Ailsa B55,Double deck,Volvo Buses,1973 to 1985,,United Kingdom
Alero,Minibus,Optare,2001 to 2008,,United Kingdom
All American,School bus,Blue Bird Body Company (1948-1992)Blue Bird Corporation (1992–present),1948 to present,Used primarily for school buses,USA
Alpha,Single deck,Salvador Caetano,1976 to 1983,,Portugal
Alpino,Single deck,Solaris Bus & Coach,2007 to 2018,,Poland
ALX100,Minibus,Walter Alexander Coachbuilders,1997 to 1999,Bodywork,United Kingdom
ALX200,Single deck,Walter Alexander CoachbuildersTransBus,1996 to 2001,Bodywork,United Kingdom
ALX300,Single deck,Walter Alexander CoachbuildersTransBusAlexander Dennis,1997 to 2007,Bodywork,United Kingdom
ALX400,Double deck,Walter Alexander CoachbuildersTransBusAlexander Dennis,1997 to 2006,Bodywork,United Kingdom
ALX500,Double deck,Walter Alexander Coachbuilders,1997 to 2002,Bodywork,United Kingdom
Ambassador,Single deck,VDL Berkhof,2001 to 2011,,The Netherlands
Amfibus,Single deck,Dutch Amphibious Transport Vehicles BV,2009,Amphibious,The Netherlands
AN440,Single deck,Neoplan USA,1981,,USA
Ares,Single deck,Renault TrucksIrisbus,,,FranceCzech Republic
Arrow,Double deck,Dennis Bros,1991 to 2000,,United Kingdom
Articulated Bus,Single deck,Leyland Motors-DAB,1979 to 1985,Articulated,United KingdomDenmark
Arway,Single deck,Irisbus/Iveco Bus,2006 to 2013,,FranceCzech Republic
Atlantean,Double deck,Leyland Motors,1958 to 1986,,United Kingdom
AutoTram Extra Grand,Single deck,GöppelFraunhofer IVIMAN,2012,Bi-articulated,Germany
Avancity,Single deck,BredaMenarinibus,2005 to 2013,Diesel - CNG,Italy
Axcess-Floline,Single deck,Wrightbus,1998 to 2001,Bodywork,United Kingdom
Axcess-Ultralow,Single deck,Wrightbus,1995 to 1998,Bodywork,United Kingdom
Axial,Single deck,VDL Berkhof,,,The Netherlands
"B 7,5",Single deck,SOR Libchavy,,,Czech Republic
"B 9,5",Single deck,SOR Libchavy,,,Czech Republic
"B 10,5",Single deck,SOR Libchavy,,,Czech Republic
B 731,Single deck,Karosa,1981 to 1996,,Czech Republic
B 732,Single deck,Karosa,1983 to 1996,,Czech Republic
B 732.1670,Single deck,Karosa,,,Czech Republic
B 741,Single deck,Karosa,1991 to 1997,Articulated,Czech Republic
B 831,Single deck,Karosa,1987 to 1989,,Czech Republic
B 832,Single deck,Karosa,1997 to 1999,,Czech Republic
B 841,Single deck,Karosa,,Articulated,Czech Republic
B 931,Single deck,Karosa,1996 to 2002,,Czech Republic
B 932,Single deck,Karosa,1996 to 2002,,Czech Republic
B 941,Single deck,Karosa,1997 to 2002,Articulated,Czech Republic
B 951,Single deck,Karosa,2002 to 2006,,Czech Republic
B 952,Single deck,Karosa,2002 to 2006,,Czech Republic
B 961,Single deck,Karosa,,Articulated,Czech Republic
B-Series,School bus,General Motors Truck & Coach,1966 to 2003,,USA
B-type,Double deck,London General Omnibus CompanyAssociated Equipment Company,1910,,United Kingdom
B5LH,Single/double deck,Volvo Buses,2008 to present,,Sweden
B5RLEH,Single deck,Volvo Buses,2013 to present,Hybrid-electric,Sweden
B5TL,Double deck,Volvo Buses,2013 to present,,Sweden
B6,Single deck,Volvo Buses,1991 to 1999,,AustriaUnited Kingdom
B6BLE,Single deck,Volvo Buses,1999 to 2001,,SwedenUnited Kingdom
B6F,Single deck,Volvo Buses,1976 to 1987,,Sweden
B6LE,Single deck,Volvo Buses,1995 to 1999,,SwedenUnited Kingdom
B7F,Single deck,Volvo Buses,1978 to present,,SwedenBrazil
B7L,Single/double deck,Volvo Buses,2000 to 2006,,Sweden
B7R,Single deck,Volvo Buses,1997 to present,,Sweden
B7RLE,Single deck,Volvo Buses,2001 to present,,Sweden
B7TL,Double deck,Volvo Buses,1999 to 2006,,SwedenUnited Kingdom
B8L,Double deck,Volvo Buses,2017 to present,,Sweden
B8R,Single deck,Volvo Buses,2013 to present,,SwedenBrazil
B8RLE,Single deck,Volvo Buses,2013 to present,,SwedenBrazil
B9L,Single deck,Volvo Buses,2005 to 2013,,Sweden
B9R,Single deck,Volvo Buses,2000 to present,,Sweden
B9RLE,Single/double deck,Volvo Buses,2010 to 2013,,Sweden
B9S,Single deck,Volvo Buses,2002 to 2011,Articulated,Sweden
B9TL,Double deck,Volvo Buses,2002 to 2017,,Sweden
B10,Single deck,Volvo Buses,,,Sweden
B10B,Chassis,Volvo Buses,1992 to 2001,,Sweden
B10BLE,Chassis,Volvo Buses,1992 to 2004,,Sweden
B10L,Chassis,Volvo Buses,1993 to 2005,,Sweden
B10M,Chassis,Volvo Buses,1978 to 2001,,SwedenUnited Kingdom
B11R,Chassis,Volvo Buses,2011 to present,,SwedenBrazilIndia
B12,Chassis,Volvo Buses,1991 to 2011,,SwedenBrazil
B12B,Chassis,Volvo Buses,2001 to 2011,,SwedenChina
B12BLE,Chassis,Volvo Buses,2001 to 2011,,Sweden
B12M,Chassis,Volvo Buses,2001 to 2011,,Sweden
B13R,Chassis,Volvo Buses,2009 to present,,SwedenMexico
B54,Single deck,Volvo Buses,1966 to 1971,,Sweden
B57,Chassis,Volvo Buses,1966 to 1982,,Sweden
B58,Chassis,Volvo Buses,1966 to 1982,,Sweden
B59,Single deck,Volvo Buses,1970 to 1979,,Sweden
B609,Single deck,Volvo Buses,1976 to 1987,,Sweden
BD,Single deck,Hino Motors,1952 to 1960,,Japan
Beaver,Minibus,Plaxton,1987 to 2011,Bodywork,United Kingdom
BH,Single deck,Hino Motors,1950 to 1953,,Japan
Blue Ribbon,Single deck,Hino Motors,1982 to present,,Japan
"BN 8,5",Single deck,SOR Libchavy,2010 to present,,Czech Republic
"BN 9,5",Single deck,SOR Libchavy,2005 to present,,Czech Republic
"BN 10,5",Single deck,SOR Libchavy,2005 to present,,Czech Republic
BN 12,Single deck,SOR Libchavy,2003 to present,,Czech Republic
Bonito,Single deck,Optare,2012,Minicoaches,United Kingdom
Bravo,Single/double deck,Ayats,,,Spain
Bridgemaster,Double deck,Associated Equipment Company,1956 to 1963,,United Kingdom
BU,Single deck,Isuzu,1962 to 1980,,Japan
Buffalo,Two-level (double deck) coach,General Motors Truck & Coach,1966,,USA
C,Single deck,Isuzu,1980 to 1984,,Japan
"C 7,5",Single deck,SOR Libchavy,,,Czech Republic
"C 9,5",Single deck,SOR Libchavy,,,Czech Republic
"C 10,5",Single deck,SOR Libchavy,,,Czech Republic
C 12,Single deck,SOR Libchavy,,,Czech Republic
C 12,Single deck,TEDOM,2006 to 2012,,Czech Republic
C 18,Single deck,TEDOM,2010,Articulated,Czech Republic
C 733,Single deck,Karosa,,,Czech Republic
C 734,Single deck,Karosa,,,Czech Republic
C 735,Single deck,Karosa,,,Czech Republic
C 744,Single deck,Karosa,,Articulated,Czech Republic
C 834,Single deck,Karosa,,,Czech Republic
C 835,Single deck,Karosa,,,Czech Republic
C 934,Single deck,Karosa,,,Czech Republic
C 935,Single deck,Karosa,,,Czech Republic
C 943,Single deck,Karosa,,Articulated,Czech Republic
C 954,Single deck,Karosa,,,Czech Republic
C 955,Single deck,Karosa,,,Czech Republic
C 956,Single deck,Karosa,,,Czech Republic
C2,School bus,Freightliner Trucks,2004,,USA
C9,Single deck,BYD Auto,2015,Electric,ChinaUnited States
C10M,Single deck,Volvo Buses,1984 to 1987,,SwedenSwitzerlandFinland
C12,Single deck,CRRC,2016,Electric,China
Cadet / Volvo Merit,Single deck,Wrightbus,,Bodywork for DAF/VDL SB120,United Kingdom
Calypso,Single deck,Duple Coachbuilders,1983 to 1984,Bodywork with Bova Europa running units,United Kingdom
CapaCity,Single deck,Mercedes-Benz,2007 to present,Articulated,Germany
Capital,Single deck,Marshall Bus (1996 to 2002)MCV Bus & Coach (2002 to 2003),1996 to 2003,Bodywork,United Kingdom
Caribbean,Single deck,Duple Coachbuilders,1983 to 1986,Bodywork,United Kingdom
CB20,Single deck,Custom Bus,,Bodywork,Australia
CB30,Single deck,Custom Bus,,Bodywork,Australia
CB50,Single deck,Custom Bus,,Bodywork,Australia
CB60,Single deck,Australian Bus Manufacturing (2000 to 2004)Custom Bus (2000 to 2007),2000 to 2007,Bodywork,Australia
CB60 Evo II,Single deck,Custom Bus,2007 to 2012,Bodywork,Australia
CB62A,Single deck,Australian Bus Manufacturing,2000 to 2002,Bodywork,Australia
CB80,Single deck,Custom Bus,2009 to present,Bodywork,Australia
CDi,Double deck,Bustech,2010 to present,,Australia
Centro,Single deck,Plaxton,2006 to 2014,Bodywork,United Kingdom
Centroliner,Single/double deck,Neoplan,1997 to 2009,,Germany
Century,Single deck,Irizar,,Bodywork,Spain
Cheetah,Single deck coach,Plaxton,1997 to 2019,Bodywork,United Kingdom
Chorus,Minibus,Hyundai Motor Company,,,South Korea
CiBus ENA,Minibus,Mave Liptál,1999 to present,,Czech Republic
Citaro,Single deck,Custom Bus,1999 to 2002,Bodywork for Mercedes-Benz O405NH,Australia
Citaro,Single deck,Mercedes-Benz,1997 to present,,Germany
Citea,Single/double deck,VDL Bus & Coach,2007 to present,,The Netherlands
"Citelis 10,5M",Single deck,Irisbus,2009 to 2013,,ItalyFranceCzech Republic
Citelis 12M,Single deck,Irisbus,2005 to 2014,,ItalyFranceCzech RepublicRomania
Citelis 18M,Single deck,Irisbus,2005 to 2013,Articulated,ItalyFranceCzech RepublicRomania
CitiRider,Double deck,BCI Bus,2015 to present,,China
Cito,Single deck,Mercedes-Benz,1999 to 2003,,Germany
City Master,Double deck,Yutong,2010 to present,,China
CityLAZ,Single deck,Lviv Bus Factory,,,Ukraine
Cityliner,,Neoplan,1971 to present,,Germany
Citymood,Single deck,IIA - Industria Italiana Autobus SpA,2013 to present,Diesel - CNG - Electric,Italy
CityPacer,Minibus,Optare,1985 to 1992,Bodywork,United Kingdom
Citywide,Single deck,Scania AB,2011 to present,,Sweden
Cityzen,Double deck,East Lancashire Coachbuilders,1995 to 2000,Bodywork,United Kingdom
Civilian,Minibus,Nissan Motors,1959 to present,Originally known as the Nissan Echo,Japan
Classic,Single-deck,GM Canada (1982-1987)MCI (1987-1993)NovaBus (1993-1997),1982 to 1997,Used or retired buses refurbished by Dupont Industries since 2007,CanadaUSA
"CN 8,5",Single deck,SOR Libchavy,,,Czech Republic
"CN 9,5",Single deck,SOR Libchavy,,,Czech Republic
"CN 10,5",Single deck,SOR Libchavy,,,Czech Republic
CN 12,Single deck,SOR Libchavy,2004 to present,,Czech Republic
"CN 13,5",Single deck,SOR Libchavy,,,Czech Republic
Coaster,Minibus,Toyota,1969 to present,,Japan
ColumboRider,Single deck,Optare,1990s,,United Kingdom
Combi,Minibus,Kia Motors,1983 to 2002,,South Korea
ComfortClass S 300,Single deck,Setra,,,Germany
ComfortClass S 400,Single deck,Setra,,,Germany
ComfortClass S 500,Single deck,Setra,,,Germany
Commander,Single deck,Wrightbus,2002 to 2007,Bodywork for DAF/VDL SB200,United Kingdom
Conecto,Single deck,Mercedes-Benz,1996 to present,,Germany
Consort,Single deck,Wrightbus,,Bodywork,United Kingdom
Contour,Single-deck coach,Wrightbus,,Bodywork,United Kingdom
Cougar,Single deck,Alternative Chassis Engineering,1991,,United Kingdom
Convoy,Minibus,LDV Group,1996 to 2006,,United Kingdom
County,Single deck,Hyundai Motor Company,1998 to present,,South Korea
CR221L,Single deck,Volgren,,Bodywork,Australia
CR222L,Single deck,Volgren,,Bodywork,Australia
CR222LD,Double deck,Volgren,,Bodywork,Australia
CR223LD,Double deck,Volgren,,Bodywork,Australia
CR224L,Single deck,Volgren,,Bodywork,Australia
CR225L,Single deck,Volgren,,Bodywork,Australia
CR226L,Single deck,Volgren,,Bodywork,Australia
CR228L,Single deck,Volgren,,Bodywork,Australia
Crossway,Single deck,Iveco Bus,2006 to present,,FranceCzech Republic
Crusader,Single deck,Wrightbus,1995 to 2002,Bodywork,United Kingdom
Cub,Midibus,Leyland Bus,1979,,United Kingdom
Cub,Minibus,LDV Group,1996 to 2001,,United Kingdom
Cubic,Single deck,Isuzu,1984 to 2000,,Japan
DAC,Single deck,Rocar,1979 to 2000,,Romania
Daily,Minibus,Iveco Bus,1978 to present,,Italy
Dart,Single deck,Dennis / TransBus / Alexander Dennis,1989 to 2008,,United Kingdom
Dash,Single deck,Walter Alexander Coachbuilders,1991 to 1997,Bodywork,United Kingdom
DB250,Double deck,DAF Bus/VDL Bus,1991 to 2006,Originally launched as the DAF DB250,The Netherlands
DD102,Double deck,Manufacturing Commercial Vehicles,,Bodywork,United Kingdom
DD103,Double deck,Manufacturing Commercial Vehicles,2011 to 2014,Bodywork for Volvo B9TL,United Kingdom
Delta,Single deck,Optare,1988,Bodywork,United Kingdom
Dekstra,Single deck,Dekstra Bus,,,Czech Republic
Diamond,Single deck,Temsa,,,Turkey
Derwent 3000,Single deck,Plaxton,1986 to 1991,Bodywork,United Kingdom
Diplomat,Single Deck,VDL Berkhof,,,The Netherlands
Dominant,Single deck,Duple Coachbuilders,1972 to 1982,Bodywork,United Kingdom
Dominator,Single/double deck,Dennis Specialist Vehicles,1977 to 1996,,United Kingdom
Domino,Single deck,Dennis Bros,1984 to 1985,,United Kingdom
Domino GTS / Domino 2001,Single deck,Iveco Domino GTS (1988-2001)Irisbus Domino 2001 (2001-2007)Irisbus New Domino (2007-2011),1988 to 2011,,Italy
Dorchester,Single deck,Dennis Bros,1983 to 1988,,United Kingdom
Dragon,Double deck,Dennis Bros,1982 to 1999,,United Kingdom
Droop Nose,Double deck,East Lancashire Coachbuilders,1984,East Lancs 1984-style double-deck body.,United Kingdom
Durastar,Single deck,Navistar International,,,USA
E 12,Single deck,King Long,2014 to present,Hybrid-electric,China
E13,Microbus,Ikarus,,,Hungary
E91,Midibus,Ikarus,1997 to 2007,,Hungary
E95,Single deck,Ikarus,1992 to 2005,,Hungary
E Type,Double deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
EBN 8,Single deck,SOR Libchavy,,Electric,Czech Republic
"EBN 9,5",Single deck,SOR Libchavy,2013 to 2016,Electric,Czech Republic
"EBN 10,5",Single deck,SOR Libchavy,2010 to present,Electric,Czech Republic
EBN 11,Single deck,SOR Libchavy,,Electric,Czech Republic
Ebus,Single deck,BYD Auto,2010 to present,Electric,China
Eclipse,Single deck,Wrightbus,,Bodywork,United Kingdom
Eclipse Fusion,Single deck,Wrightbus,,Articulated bodywork for Volvo B7LA,United Kingdom
Eclipse Gemini,Double deck,Wrightbus,,Bodywork for Volvo low-floor double-deckers,United Kingdom
Eclipse SchoolRun,School bus,Wrightbus,,Bodywork for Volvo B7R,United Kingdom
Effeuno,Single deck,Iveco,1984 to 1990,IVECO 471 : urban servicesIVECO 571 : suburban servicesIVECO 671 : interurban services,Italy
Ego,Single deck,,,Bodywork,United Kingdom
EL2000,Single deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
Electrocity,Single deck,Wrightbus,2002 to 2013,Hybrid-electric,United Kingdom
Electron 12,Single deck,Ekova,2015 to present,,Czech Republic
Electron 12T,Single deck,Ekova,2017 to present,Trolleybus,Czech Republic
Elite,Coach,Plaxton,,Bodywork,United Kingdom
Endurance,Single deck,Wrightbus,,Bodywork,United Kingdom
Enviro200,Single deck,TransBus International,2003,,United Kingdom
Enviro200 Dart,Single deck,Alexander Dennis,2006,"Available as complete bus, chassis or bodywork",United Kingdom
Enviro300,Single deck,TransBusAlexander Dennis,,"Available as complete bus, chassis or bodywork",United Kingdom
Enviro350H,Single deck,Alexander Dennis,,,United Kingdom
Enviro400,Double deck,Alexander Dennis,,"Available as complete bus, chassis or bodywork",United Kingdom
Enviro400 MMC,Double deck,Alexander Dennis,,Available as complete bus or bodywork,United Kingdom
Enviro500,Double deck,Alexander Dennis,,"Available as complete bus, chassis or bodywork",United Kingdom
Erga Mio,Single deck,Isuzu,1999,,Japan
Erga,Single deck,Isuzu,2000,,Japan
Esteem,Single deck,East Lancashire CoachbuildersOptare,,"Bodywork, originally launched as East Lancs Esteem",United Kingdom
EuroClass,Single deck,Iveco (1993-2002)Irisbus (2002-2006),1993 to 2006,,Italy
Eurolider 12,Single deck,Autosan,2009,,Poland
Euroliner,,Neoplan,1998 to 2006,,Germany
European,Single deck,East Lancashire Coachbuilders,,Bodywork,United Kingdom
Europolis,Single deck,Cacciamali 1996 to 1999Iveco 199 to 2001Irisbus 2002 to 2010,1996 to 2010,Electric - Diesel - CNG,Italy
Evolution,Single deck,Manufacturing Commercial Vehicles,2003 to present,Bodywork,United Kingdom
Evora,Single deck,Manufacturing Commercial Vehicles,2018 to present,Bodywork,United Kingdom
EvoSeti,Double deck,Manufacturing Commercial Vehicles,2015 to present,Bodywork,United Kingdom
EX 15,Single deck,Van Hool,2014 to present,,Macedonia
EX 16,Single deck,Van Hool,2014 to present,,Macedonia
Excel,Single deck,Optare,1995,,United Kingdom
Excellence,Single deck,VDL Berkhof,,,The Netherlands
F94,Single deck,Scania,,Bodywork,SwedenBrazil
Falcon,Single/double deck,Dennis Bros,1981 to 1993,,United Kingdom
FB,Single deck,Hyundai Motor Company,,,South Korea
FIRST,Minibus,Rošero – P,,,Slovakia
Fleetline,Single/double deck,DaimlerLeyland Motors,1960 to 1980,,United Kingdom
Flyte,Single deck,East Lancashire Coachbuilders,1996 to 2001,Bodywork,United Kingdom
Fortuna,Single deck,MAN Truck & Bus,2004 to 2006,,Germany
FR1,Single deck,Renault Vehicles Industries,1983 to 1996,,France
Freeline,Single deck,Daimler,1951 to 1964,,United Kingdom
FS-65,School bus,Freightliner Trucks,1997 to 2007,,USA
Fusion,Single deck,Wrightbus,1998 to 1999,Articulated bodywork for Volvo B10LA,United Kingdom
Futura,Single/double deck,VDL (originally Bova),1982 to present,,The Netherlands
